_inputshopbuymultiple;VÁSÁRLÁS
ui_journey_crowns_quests;Koronák a küldetések teljesítése után
ui_journey_crowns_tooltip;Gyűjtött Koronák az aktuális utazás szinteden
ui_journey_level_tooltip;Az aktuális szinted az Utazás során
ui_journey_list;Utazás lista
ui_journey_main_panel_buy;Prémium feloldása
ui_journey_main_panel_extended_path;Prémium
ui_journey_main_panel_fast_travel;Gyorsutazás
ui_journey_main_panel_levels;Szintek
ui_journey_main_panel_standard_path;Alapértelmezett
ui_journey_main_panel_story;Utazás története
ui_journey_new_quests;A küldetések következő csoportja következő héten érkezik...
ui_journey_panel_title;Utazás lista
ui_journey_popup_congratulation;Gratulálunk!
ui_journey_popup_finish_journey;Befejezted Kökörcsin utazását! Cherish souvenirs and csecsebecsék you've gathered on the way, wear proudly your new outfits!
ui_journey_popup_journey_end;Az utazás a végéhez ért - gaining crown pieces will grant you jutalompont
ui_journey_popup_premium_alzur_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Alzur kinézetet és további díszítéseket!
ui_journey_popup_premium_aretuza_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel az Aretuzai főterem táblát és további díszítéseket!
ui_journey_popup_premium_button;Egyszeri ajánlat
ui_journey_popup_premium_ciri_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Ciri kinézetet és további díszítéseket!
ui_journey_popup_premium_ciri_title;Prémium engedély +25 szint
ui_journey_popup_premium_dandelion_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Kökörcsin kinézetet és további díszítéseket!
ui_journey_popup_premium_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Geralt kinézetet és további díszítéseket!
ui_journey_popup_premium_geralt_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Geralt kinézetet és további díszítéseket!
ui_journey_popup_premium_regis_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Regis kinézetet és további díszítéseket!
ui_journey_popup_premium_title;Prémium engedély +25 szint
ui_journey_popup_premium_triss_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Triss kinézetet és további díszítéseket!
ui_journey_popup_premium_yen_desc;Szerezz előnyt és oldj fel 25 szintet azonnal!\nOldd fel a legendás Yennefer kinézetet és további díszítéseket!
ui_journey_popup_standard_alzur_desc;Unlock the legendary Alzur skin immediately!
ui_journey_popup_standard_aretuza_desc;Oldd fel az Aretuzai főterem táblát azonnal!
ui_journey_popup_standard_ciri_desc;Oldd fel a legendás Ciri kinézetet azonnal!
ui_journey_popup_standard_dandelion_desc;Oldd fel a legendás Kökörcsin kinézetet azonnal!
ui_journey_popup_standard_desc;Oldd fel a legendás Geralt kinézetet azonnal!
ui_journey_popup_standard_geralt_desc;Oldd fel a legendás Geralt kinézetet azonnal!
ui_journey_popup_standard_regis_desc;Oldd fel a legendás Regis kinézetet azonnal!
ui_journey_popup_standard_title;Prémium engedély
ui_journey_popup_standard_triss_desc;Oldd fel a legendás Triss kinézetet azonnal!
ui_journey_popup_standard_yen_desc;Oldd fel a legendás Yennefer kinézetet azonnal!
ui_journey_popup_start_journey;Kökörcsin utazása elkezdődött! Follow his story by playing games and completing weekly quests!
ui_journey_popup_start_title;Üdvözöllek!
ui_journey_premium;Prémium utazás
ui_journey_quest_complete;Küldetés teljesítve!
ui_journey_quest_complete_updated;A következő héten várható.
ui_journey_quest_difficulty_easy;Könnyű
ui_journey_quest_difficulty_hard;Nehéz
ui_journey_quest_difficulty_normal;Közepes
ui_journey_quest_reset;Köv. hét:
ui_journey_reroll_disabled_tooltip;Az új küldetés cseréjére egy újabb hét alkalmával lesz lehetőség.
ui_journey_reroll_enabled_tooltip;Küldetés cseréje
ui_journey_social_panel_week;HÉT {0} / {1}
ui_journey_standard;Alap utazás
ui_journey_story_extended_next_week;The next part of Geralt's Utazás will come next week...
ui_journey_story_extended_title;Geralt története
ui_journey_story_heading;Radically Liberal Arts
ui_journey_story_standard_next_week;The next part of the Story will come next week...
ui_journey_story_standard_title;Kökörcsin története
ui_journey_switch_warning_dialog_desc;Premium Journey helps you progress with bonus crown points on completing quests. Switching to Standard Journey will disable the bonus.
ui_journey_switch_warning_dialog_title;Warning
ui_journey_switch_warning_dialog_toggle_desc;Ne mutastd ezt a felugró ablakot a jövőben!
ui_journey_timer_days;{0} NAPOK
ui_journey_timer_ends;VÉGE:
ui_journey_until_next_level;a következő szintig
ui_journey_value;Value of {0}
ui_journey_well_rested_bonus;Jól kipihent bónusz
ui_journey_well_rested_bonus_daily;Bonus to Crowns you collect for winning rounds - resets daily
ui_leader_group_52_title;Nekker
ui_leader_group_53_title;Hóember
ui_leader_group_54_title;Katona
ui_leader_group_55_title;Íjász
ui_leader_group_56_title;Hárpia
ui_leader_group_57_title;Katakán
ui_leader_group_58_title;Caldwell gróf
ui_leader_group_59_title;Téli esemény
ui_leader_group_60_title;Vérfarkas
ui_leader_group_61_title;Lovag
ui_leader_group_62_title;Kalóz
ui_leader_group_63_title;Ködárny
ui_leader_group_64_title;Shaelmaar
ui_leader_name;Regis utazása
ui_leader_name_10000;Lidérc
ui_leader_name_10001;Gascon
ui_leader_name_10002;Emhyr var Emreis
ui_leader_name_10003;Arakász királynő
ui_leader_name_10004;Gernichora
ui_leader_name_10005;Bitorló
ui_leader_name_10006;Dettlaff van der Eretein
ui_leader_name_10007;Ardal aep Dahy
ui_leader_name_10008;Láthatatlan Ős
ui_leader_name_10009;Anna Henrietta
ui_leader_name_10010;Jan Calveit
ui_leader_name_10011;Morvran Voorhis
ui_leader_name_10012;Foltest király
ui_leader_name_10013;Erdő szelleme
ui_leader_name_10014;V. Radovid
ui_leader_name_10015;Calanthe királynő
ui_leader_name_10016;Henselt király
ui_leader_name_10017;Adda hercegnő
ui_leader_name_10018;Meve királynő
ui_leader_name_10019;Bandita
ui_leader_name_10020;III. Demavend király
ui_leader_name_10021;Dana Méadbh
ui_leader_name_10022;Francesca Findabair
ui_leader_name_10023;Eldain
ui_leader_name_10024;Filavandrel aén Fidháil
ui_leader_name_10025;Brouver Hoog
ui_leader_name_10026;Eithné
ui_leader_name_10027;Bran Tuirseach
ui_leader_name_10028;Crach An Craite
ui_leader_name_10029;Nyomorék Harald
ui_leader_name_10030;Eist Tuirseach
ui_leader_name_10031;Apagyilkos Arnjolf
ui_leader_name_10032;Svalblod
ui_leader_name_10033;Koldusok királya
ui_leader_name_10034;Cyrus Engelkind Hemmelfart
ui_leader_name_10035;Sigismund Dijkstra
ui_leader_name_10036;Trancsír
ui_leader_name_10037;Gudrun Bjornsdottir
ui_leader_name_10038;Kurafi Kölyök
ui_leader_name_10039;Eredin Bréacc Glas
ui_leader_name_10040;Különítmény vezetője
ui_leader_name_10041;Geralt
ui_leader_name_10042;Gaunter O'Dimm
ui_leader_name_10043;Ciri
ui_leader_name_10044;Shupe
ui_leader_name_10045;Alzur
ui_leader_name_10046;Yennefer
ui_leader_name_10047;Triss Merigold
ui_leader_name_10048;Emiel Regis emberi alakban
ui_leader_name_10049;Octavia Hale
ui_leader_name_10050;Emiel Regis, a félvér
ui_leader_name_10051;Regis, a vámpír
ui_leader_name_10052;Kökörcsin
ui_leader_trinket_group_1_title;Páncélok
ui_leader_trinket_group_2_title;Fejfedők
ui_leader_trinket_group_3_title;Trófeák
ui_leader_trinket_group_4_title;Fegyverek
ui_multiple_system_download_failure_description;A játékban csatlakozási hiba lépett fel az online szolgáltatásoknál. Kérjük várjon pár percet és indítsa újra a játékot!
ui_need_to_finish_action;Előbb be kell fejezned az akciódat
ui_need_to_play_card;Ki kell játszanod egy kártyát
ui_next_round;Következő forduló
ui_next_season_will_start;Next season will start in {0}
ui_notification_journey_button;Több küldetés
ui_notification_journey_main;Befejezett küldetéseid: {0}
ui_ouroboros_reroll_currency;Küldetés cseréje erőforrás felhasználásával
ui_ouroboros_reroll_disabled_tooltip;Nincs elég erőforrás a küldetés cseréjéhez
ui_ouroboros_reroll_enabled_tooltip;Küldetés cseréje
ui_quests_download_failure_description;A játékban csatlakozási probléma lépett fel; a küldetés adatokat nem sikerült letölteni. Kérjük várjon pár percet és indítsa újra a játékot!
ui_recommended;Ajánlott
ui_reroll_ore;Érc használata:
ui_reroll_powder;Por használata:
ui_reroll_reward_points;Jutalompont használata:
ui_reroll_scraps;Hulladék használata:
ui_reward_book_love_2021_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2021_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2023_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2024_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2025_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2026_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2027_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_love2028_info_desc;Csokoládé szívekre van szükség minden jutalom feloldásához!
ui_reward_book_saovine2022_info_desc;Vércseppekre van szükség minden jutalom feloldásához!
ui_reward_book_saovine2023_info_desc;Vércseppekre van szükség minden jutalom feloldásához!
ui_reward_book_winter2021_info_desc;Pine Cones needed to unlock all rewards
ui_rewards_download_failure_description;A játékban csatlakozási probléma lépett fel; a jutalom adatokat nem sikerült letölteni. Kérjük várj pár percet és indítsd újra a játékot!
ui_rivia_board_shop_desc;Play on this board and unlock these rewards
ui_round_tutorial_main_title;ROUND AND CARDS IN GWENT
ui_round_tutorial_match_won;GYŐZELEM
ui_round_tutorial_message_1;At the start of a game, both players <b>DRAW 10 CARDS</b>.
ui_round_tutorial_message_1b;Players take turns playing cards until both pass.
ui_round_tutorial_message_2;Remember, you need to <b>WIN 2 ROUNDS</b> so you should save some cards for later.
ui_round_tutorial_message_3;Unused cards carry over to the next round.\nYou then <b>DRAW 3 CARDS</b> (max 10).
ui_round_tutorial_message_4;Each player plays cards until both pass.\nRemember you need to <b>WIN 2 ROUNDS</b>!
ui_round_tutorial_message_5;Since both players won a round, a <b>FINAL ROUND</b> is played to determine the winner.
ui_round_tutorial_message_6;Any cards remaining from previous rounds carry over and each player draws <b>3 CARDS</b>.
ui_round_tutorial_message_7;Choosing the right round to play your cards, is the key to <b>VICTORY</b>!
ui_round_tutorial_round_1;1. FORDULÓ
ui_round_tutorial_round_2;2. FORDULÓ
ui_round_tutorial_round_3;3. FORDULÓ
ui_round_tutorial_round_loss;VESZTETT FORDULÓ
ui_round_tutorial_round_won;NYERT FORDULÓ
ui_season_transition;You are in Season transition! Those games will not count to your Season progression.
ui_season_transition_name;Season transition
ui_seconds_shortcut;{0} s
ui_shop_data_failure_description;A játékban csatlakozási probléma lépett fel; a bolti adatokat nem sikerült letölteni. Kérjük várjon pár percet és indítsa újra a játékot!
ui_shop_gifting_btn;Ajándékba vásárolom
ui_shop_gifting_selected_recipients;Választott címzett
ui_shop_starter_pack_best_offer;LEGJOBB AJÁNLAT
ui_social_panel_journey_bonus_left;{0} <sprite="PopupIcons" name="WellRested"> bónusz maradt
ui_social_panel_journey_quests;Utazás küldetések
ui_soundtrack_group_1_title;Kezdő
ui_soundtrack_group_10_title;Triss utazása
ui_soundtrack_group_2_title;Speciális
ui_soundtrack_group_3_title;Aretuza utazás
ui_soundtrack_group_5_title;Kökörcsin utazása
ui_soundtrack_group_6_title;Geralt utazása
ui_soundtrack_group_7_title;Ciri utazása
ui_soundtrack_group_8_title;Alzur utazása
ui_soundtrack_group_9_title;Yennefer utazása
ui_tooltip_coins;A Szindikátus bónusz pénzneme. Maximum 9 érméd lehet. A megmaradt érmék száma a felére csökken, ha átviszed őket a következő fordulóra.
ui_vanity_inventory_change_category;Change category
ui_vanity_inventory_equip_preview;Equip
ui_vanity_inventory_toggle_expand;Toggle expand
unfinished_transactions;We are finishing your previous transactions. Kérjük próbálja meg később! If you see this message again, please contact our technical support.
unfinished_transactions_title;Unfinished transaction
unknown_error;There was an error connecting with one of our services. But fear not – chances are we're already fixing it.
unknown_error_title;Ismeretlen hiba
unlock_quests_at_level;Felold <color=#0CF2A9>{0}</color> küldetés a szinten
unlock_quests_social_panel_at_level;{0} Küldetés feloldva ezen a szinten: {1}
user_canceled_purchase;You canceled your purchase.
user_canceled_purchase_title;Purchase Canceled
user_item_not_found;An error has occurred. The selected item does not exist. Please contact technical support.
user_item_not_found_title;Error
user_not_in_season;Alas! This season is no longer active.
user_not_in_season_title;Season Ended
user_perk_daily_quests_additional_reroll;Re-roll an additional daily quest each day.
user_perk_guaranteed_premium_choosables;Garantál minden hordónál legalább 1 prémium kártyát az ötödik kiválasztásánál.
user_perk_guaranteed_premium_non_choosables;Garantál minden hordónál legalább 1 prémium kártyát az első 4 kártyából.
user_perk_guaranteed_rare_non_choosables;Guaranteed at least 1 rare in the first 4 cards for all kegs.
user_perk_increased_daily_reward_ore;Additional Reward Point for completing Daily Quest
user_perk_increased_daily_reward_powder;Chance for Reward Points as GG rewards
user_perk_increased_daily_reward_scraps;Additional Reward Point for completing Daily Quest
user_perk_increased_gg_reward;Amount of rewards increased from 5 to 7 when you or your opponent sends "Jó meccs".
user_perk_powder_for_daily_quests;Daily quests now grant an additional 10 Meteorite Powder.
user_perk_reward_point_in_daily_quest;Additional Reward Point for completing Daily Quest
user_perk_reward_point_in_daily_quest_2;Additional Reward Point for completing Daily Quest
user_perk_reward_points_in_daily_rewards;Amount of rewards increased from 7 to 9 when you or your opponent sends GG.
user_signed_out_description;Az aktuális felhasználó kijelentkezett!
user_signed_out_title;Kijelentkezve!
user_support_id;Support ID számod:
vanity_aura_80312_title;Nincs aura (Ember)
vanity_aura_80313_title;Füvesember aura (Ember)
vanity_aura_80314_title;Sírjáró aura (Ember)
vanity_aura_80315_title;Batornado aura (Ember)
vanity_aura_80316_title;Varjak pusztítója aura (Ember)
vanity_aura_80317_title;Vörös lámpások aura (Ember)
vanity_aura_80318_title;Sárga lámpások aura (Ember)
vanity_aura_80379_title;Nincs aura (Félvér)
vanity_aura_80380_title;Füvesember aura (Félvér)
vanity_aura_80381_title;Sírjáró aura (Félvér)
vanity_aura_80382_title;Batornado aura (Félvér)
vanity_aura_80383_title;Varjak pusztítója aura (Félvér)
vanity_aura_80384_title;Vörös lámpások aura (Félvér)
vanity_aura_80385_title;Sárga lámpások aura (Félvér)
vanity_aura_80386_title;No aura (Vámpír)
vanity_aura_80387_title;Füvesember aura (Vámpír)
vanity_aura_80388_title;Sírjáró aura (Vámpír)
vanity_aura_80389_title;Batornado aura (Vámpír)
vanity_aura_80390_title;Varjak pusztítója aura (Vámpír)
vanity_aura_80391_title;Vörös lámpások aura (Vámpír)
vanity_aura_80392_title;Sárga lámpások aura (Vámpír)
vanity_avatar_40110_title;Kökörcsin avatár
vanity_avatar_40112_title;Imlerith avatár
vanity_avatar_40120_title;Ciri avatár
vanity_avatar_40130_title;Zoltán és Duda avatár
vanity_avatar_40132_title;Geralt: Hivatásos avatár
vanity_avatar_40141_title;Lambert avatár
vanity_avatar_40170_title;Saskia avatár
vanity_avatar_40171_title;Aelirenn avatár
vanity_avatar_40172_title;Caranthir avatár
vanity_avatar_40173_title;Vesemir avatár
vanity_avatar_40174_title;Priscilla avatár
vanity_avatar_40175_title;Nősténymedve avatár
vanity_avatar_40176_title;Elf avatár
vanity_avatar_40177_title;Serrit avatár
vanity_avatar_40178_title;Keira Metz avatár
vanity_avatar_40179_title;Morenn avatár
vanity_avatar_40180_title;Keltullis avatár
vanity_avatar_40182_title;Vérmacska avatár
vanity_avatar_40183_title;Katona avatár
vanity_avatar_40184_title;Vad Hajsza kopója avatár
vanity_avatar_40185_title;Keszeg avatár
vanity_avatar_40186_title;Szukkubusz avatár
vanity_avatar_40188_title;Eudora avatár
vanity_avatar_40189_title;Auckes avatár
vanity_avatar_40190_title;Kageni Georg avatár
vanity_avatar_40191_title;Birka avatár
vanity_avatar_40192_title;Griff avatár
vanity_avatar_40193_title;Villentretenmerth avatár
vanity_avatar_40194_title;Braenn avatár
vanity_avatar_40195_title;Treant avatár
vanity_avatar_40196_title;Kiyan avatár
vanity_avatar_42010_title;Törvényenkívüli Meve avatár
vanity_avatar_42011_title;Reynard Odo avatár
vanity_avatar_42012_title;Gascon avatár
vanity_avatar_42013_title;Barnabás Beckenbauer avatár
vanity_avatar_42014_title;Gatyás avatár
vanity_avatar_42015_title;Deneslei Eyck avatár
vanity_avatar_42016_title;Gábor Zigrin avatár
vanity_avatar_42017_title;Fekete Rayla avatár
vanity_avatar_42018_title;Hagge-i Isbel avatár
vanity_avatar_42033_title;Menno Coehoorn avatár
vanity_avatar_42034_title;Caldwell báró avatár
vanity_avatar_42035_title;Mahakami őr avatár
vanity_avatar_45007_title;Pavko Gale avatár
vanity_avatar_45008_title;Lázító atyafi avatár
vanity_avatar_45009_title;Walter Veritas avatár
vanity_avatar_45052_title;Vesemir avatár
vanity_avatar_46005_title;Elihal avatár
vanity_avatar_47000_title;Shupe avatár
vanity_avatar_47001_title;Kalandozó Shupe avatár
vanity_avatar_47003_title;Dol Blathanna íjász avatár
vanity_avatar_47004_title;Viola avatár
vanity_avatar_47005_title;Amrynn avatár
vanity_avatar_47006_title;Narcissa avatár
vanity_avatar_48001_title;Gaunter O'Dimm avatár
vanity_avatar_48021_title;Calanthe királynő avatár
vanity_avatar_48022_title;Svalblod avatár
vanity_avatar_48023_title;Dana Méadbh avatár
vanity_avatar_48024_title;Anna Henrietta avatár
vanity_avatar_48035_title;Szegény Nyomorék Gyalogság avatár
vanity_avatar_48036_title;Fojtólidérc avatár
vanity_avatar_48037_title;Skelligei harcos avatár
vanity_avatar_48038_title;Mókus kommandó avatár
vanity_avatar_48039_title;Nilfgaardi lovag avatár
vanity_avatar_48040_title;Kökörcsin avatár
vanity_avatar_48041_title;Priscilla avatár
vanity_avatar_48042_title;Shani avatár
vanity_avatar_48043_title;Véres Báró avatár
vanity_avatar_48044_title;Zoltán Chivay avatár
vanity_avatar_48045_title;Lambert avatár
vanity_avatar_48046_title;Regis avatár
vanity_avatar_48047_title;Vernon Roche avatár
vanity_avatar_48048_title;Sigismund Dijkstra avatár
vanity_avatar_48049_title;Emhyr var Emreis avatár
vanity_avatar_48050_title;Guleti Letho avatár
vanity_avatar_48051_title;Philippa Eilhart avatár
vanity_avatar_48053_title;Láthatatlan Ős avatár
vanity_avatar_48054_title;Avallac'h avatár
vanity_avatar_48055_title;Crach an Craite avatár
vanity_avatar_48056_title;V. Radovid király avatár
vanity_avatar_48057_title;Eredin Bréacc Glas avatár
vanity_avatar_48058_title;Iorveth avatár
vanity_avatar_48059_title;Triss Merigold avatár
vanity_avatar_48060_title;Vengerbergi Yennefer avatár
vanity_avatar_48061_title;Gaunter O'Dimm avatár
vanity_avatar_48062_title;Saskia avatár
vanity_avatar_48063_title;Ciri avatár
vanity_avatar_48064_title;Ríviai Geralt avatár
vanity_avatar_48065_title;Hivatásos avatár
vanity_avatar_48070_title;A birtok ura avatár
vanity_avatar_48071_title;Vadkan avatár
vanity_avatar_48073_title;Dettlaff van der Eretein avatár
vanity_avatar_48074_title;Bíbor Átok avatár
vanity_avatar_48075_title;Regis: Vérszomj avatár
vanity_avatar_48076_title;La Cage au Fou avatár
vanity_avatar_48077_title;Szindikátus avatár
vanity_avatar_48078_title;Gudrun avatár
vanity_avatar_48079_title;Hemmelfart avatár
vanity_avatar_48080_title;Kurafi Kölyök avatár
vanity_avatar_48081_title;Trancsír avatár
vanity_avatar_48082_title;Koldusok királya avatár
vanity_avatar_48083_title;Sigismund Dijkstra avatár
vanity_avatar_48084_title;Radovid avatár
vanity_avatar_48085_title;Dethmold avatár
vanity_avatar_48086_title;Redán katona avatár
vanity_avatar_48087_title;Vas Ítélet avatár
vanity_avatar_48088_title;Xavier avatár
vanity_avatar_48089_title;Gudmund avatár
vanity_avatar_48090_title;Kémfőnök avatár
vanity_avatar_48091_title;Eldain választottja avatár
vanity_avatar_48092_title;Spalla Bitangjai avatár
vanity_avatar_48093_title;Ermion avatár
vanity_avatar_48094_title;Lidérc avatár
vanity_avatar_48095_title;Ofír kereskedői avatár
vanity_avatar_48096_title;Festive Crach avatár
vanity_avatar_48097_title;Gonosz hóember avatár
vanity_avatar_48098_title;Yule szelleme avatár
vanity_avatar_48099_title;Kukorix avatár
vanity_avatar_48100_title;Mázlis avatár
vanity_avatar_48101_title;Sárkány avatár
vanity_avatar_48102_title;Vidám patkány avatár
vanity_avatar_48103_title;Baka frizura avatár
vanity_avatar_48104_title;Farkas medál avatár
vanity_avatar_48105_title;Lekicsinyített Geralt avatár
vanity_avatar_48106_title;Rongybaba avatár
vanity_avatar_48107_title;Meleg ruha avatár
vanity_avatar_48108_title;Vörös selyemkendő avatár
vanity_avatar_48109_title;Úriember avatár
vanity_avatar_48110_title;Tudós avatár
vanity_avatar_48111_title;Csuklyás avatár
vanity_avatar_48112_title;Farkas álarc avatár
vanity_avatar_48113_title;Ifjú farkas avatár
vanity_avatar_48114_title;Papagáj álarc avatár
vanity_avatar_48115_title;Kaer Morheni tanítvány avatár
vanity_avatar_48116_title;Foltest álarc avatár
vanity_avatar_48117_title;Tükörmester jele avatár
vanity_avatar_48118_title;Animált Aard avatár
vanity_avatar_48119_title;Ifrit avatár
vanity_avatar_48120_title;Birodalmi gólem avatár
vanity_avatar_48121_title;Kőpörkölt Garth avatár
vanity_avatar_48122_title;Rémpatkány avatár
vanity_avatar_48123_title;Ida Emean aep Sivney avatár
vanity_avatar_48124_title;Kolgrim avatár
vanity_avatar_48125_title;Stregobor avatár
vanity_avatar_48126_title;Jerome avatár
vanity_avatar_48127_title;Myrgtabrakke avatár
vanity_avatar_48128_title;Aglaïs avatár
vanity_avatar_48129_title;Ifjú Brehen avatár
vanity_avatar_48130_title;Percival avatár
vanity_avatar_48131_title;Télkirálynő avatár
vanity_avatar_48132_title;Fiatal Vesemir avatár
vanity_avatar_48133_title;Vespula avatár
vanity_avatar_48134_title;Geralt avatár
vanity_avatar_48135_title;Kökörcsin avatár
vanity_avatar_48136_title;Mulatozó avatár
vanity_avatar_48137_title;Animált Igni avatár
vanity_avatar_48138_title;Animált Yrden avatár
vanity_avatar_48139_title;Animált Quen avatár
vanity_avatar_48140_title;Animált Axii avatár
vanity_avatar_48141_title;Lambert avatár
vanity_avatar_48142_title;Vérpatkány avatár
vanity_avatar_48143_title;Földelementál avatár
vanity_avatar_48144_title;Megtestesült gonosz avatár
vanity_avatar_48145_title;Táncos avatár
vanity_avatar_48146_title;Vándordalnok avatár
vanity_avatar_48147_title;Szkáld avatár
vanity_avatar_48148_title;Fagyott avatár
vanity_avatar_48149_title;Erlenwald Süne avatár
vanity_avatar_48150_title;Tükörmester avatár
vanity_avatar_48151_title;Macska medál avatár
vanity_avatar_48152_title;Ihuarraquax avatár
vanity_avatar_48153_title;Viceroy Ge'els portréja Ciciről avatár
vanity_avatar_48154_title;Lekicsinyített Ciri avatár
vanity_avatar_48155_title;Zsáklány figura Ciri avatár
vanity_avatar_48156_title;Cirilla Fiona Elen Riannon avatár
vanity_avatar_48157_title;Kaer Morheni tanítvány Ciri avatár
vanity_avatar_48158_title;Csuklyás Ciri avatár
vanity_avatar_48159_title;Ciri Nova avatár
vanity_avatar_48160_title;Fehér Fagy avatár
vanity_avatar_48161_title;Skelligei Ciri avatár
vanity_avatar_48162_title;Kitsune avatár
vanity_avatar_48163_title;Boldog Ciri avatár
vanity_avatar_48164_title;Nani?! avatár
vanity_avatar_48165_title;Keleti Ciri avatár
vanity_avatar_48166_title;Maszkos Ciri avatár
vanity_avatar_48167_title;Ciri avatár
vanity_avatar_48168_title;Vesemir avatár
vanity_avatar_48169_title;Kék Fecske animált avatár
vanity_avatar_48170_title;Vörös Fecske animált avatár
vanity_avatar_48171_title;Lila Fecske animált avatár
vanity_avatar_48172_title;Zöld Fecske animált avatár
vanity_avatar_48173_title;Arany Fecske animált avatár
vanity_avatar_48174_title;Myrgtabrakke avatár
vanity_avatar_48176_title;Balul sikerült kísérlet avatár
vanity_avatar_48177_title;Átverés avatár
vanity_avatar_48178_title;Elegáns Alzur avatár
vanity_avatar_48179_title;Hold avatár
vanity_avatar_48180_title;Nap avatár
vanity_avatar_48181_title;Druida Alzur avatár
vanity_avatar_48182_title;Őrző avatár
vanity_avatar_48183_title;Kísérletező Alzur avatár
vanity_avatar_48184_title;Nagyszerű eredmény avatár
vanity_avatar_48185_title;Pocsék eredmény avatár
vanity_avatar_48186_title;Nap és Hold álarc avatár
vanity_avatar_48187_title;Maszkos szamuráj avatár
vanity_avatar_48188_title;Ronin avatár
vanity_avatar_48189_title;Sisak avatár
vanity_avatar_48190_title;Nekromanta Alzur avatár
vanity_avatar_48191_title;Alzur avatár
vanity_avatar_48192_title;Galanthea avatár
vanity_avatar_48193_title;Kék mutagén animált avatár
vanity_avatar_48194_title;Sárga mutagén animált avatár
vanity_avatar_48195_title;Zöld mutagén animált avatár
vanity_avatar_48196_title;Lila mutagén animált avatár
vanity_avatar_48197_title;Vörös mutagén animált avatár
vanity_avatar_48198_title;Dzsinn avatár
vanity_avatar_48199_title;Cica avatár
vanity_avatar_48200_title;Hadakozó Meve avatár
vanity_avatar_48201_title;Keracki tengerész avatár
vanity_avatar_48202_title;Cosimo avatár
vanity_avatar_48203_title;A Hószűz avatár
vanity_avatar_48204_title;Nekker avatár
vanity_avatar_48205_title;Tökfej avatár
vanity_avatar_48206_title;Kísérteties lámpás avatár
vanity_avatar_48207_title;Fantom fogadós avatár
vanity_avatar_48208_title;Alp avatár
vanity_avatar_48209_title;Fantom Trancsír avatár
vanity_avatar_48210_title;Láthatatlan Ős avatár
vanity_avatar_48212_title;Auberon avatár
vanity_avatar_48213_title;Fráterka avatár
vanity_avatar_48214_title;Vérvöröske avatár
vanity_avatar_48215_title;Fagyos Gudrun avatár
vanity_avatar_48216_title;Snowdal avatár
vanity_avatar_48217_title;Vidám Gudmund avatár
vanity_avatar_48218_title;Fagyöngy Dana avatár
vanity_avatar_48219_title;Még hidegebb Eredin avatár
vanity_avatar_48220_title;Larviki Erland avatár
vanity_avatar_48221_title;Bukott Rayla avatár
vanity_avatar_48222_title;Gonosz Szemű Ivar avatár
vanity_avatar_48223_title;Arnaghad avatár
vanity_avatar_48224_title;Leydai Gezras avatár
vanity_avatar_48225_title;Vij avatár
vanity_avatar_48226_title;A vaják útja avatár
vanity_avatar_48227_title;Kapucnis Yennefer avatár
vanity_avatar_48228_title;Arany Farkas álarc avatár
vanity_avatar_48229_title;Csipkés szemkendő avatár
vanity_avatar_48230_title;Uroborosz Mask avatár
vanity_avatar_48231_title;Yennefer medálja avatár
vanity_avatar_48232_title;Megkülönböztetett avatár
vanity_avatar_48233_title;Koldus rajza Yenről avatár
vanity_avatar_48234_title;Holló avatár
vanity_avatar_48235_title;Fiatal Yanka avatár
vanity_avatar_48236_title;Nekromanta Yen avatár
vanity_avatar_48243_title;Yennefer avatár
vanity_avatar_48244_title;Nimue avatár
vanity_avatar_48245_title;Vörös Kristálykoponya animált avatár
vanity_avatar_48246_title;Zöld Kristálykoponya animált avatár
vanity_avatar_48247_title;Kék Kristálykoponya animált avatár
vanity_avatar_48248_title;Lila Kristálykoponya animált avatár
vanity_avatar_48249_title;Sárga Kristálykoponya animált avatár
vanity_avatar_48250_title;Vándorló Kökörcsin avatár
vanity_avatar_48251_title;Vándorló Priscilla avatár
vanity_avatar_48252_title;Ökör avatár
vanity_avatar_48253_title;Mérges farkas avatár
vanity_avatar_48255_title;Iris von Everec avatár
vanity_avatar_48256_title;Olgierd von Everec avatár
vanity_avatar_48257_title;Jacques nagymester avatár
