_inputshopbuymultiple;BUY
reward_tree_cat_2_story_pt2;Like most of his kin, Brehen was a rogue and an outcast. Prone to bouts of heightened emotion and erratic behaviour—attributed to the school’s warped mutation process—Brehen’s volatile nature was infamous. Mostly due to his hand in the massacre at the town of Iello, which forever branded him with the shady moniker: Cat of Iello.
reward_tree_cat_2_story_pt3;Upon travelling to Vizima—where he intended to claim the reward for curing King Foltest’s daughter of her monstrous curse—Brehen had a chance encounter with Geralt at The Wild Boar and Stag tavern. Believing the rival witcher was out to steal the bounty for himself, Brehen confronted the White Wolf. Whether it was confidence in his own fighting prowess, or the knowledge that Geralt was currently unarmed, Brehen attempted to coerce his opponent into a duel, declaring that only one of them would make it out alive.
reward_tree_cat_2_story_pt4;As luck would have it, a fight between the Cat of Iello and the Butcher of Blaviken would not take place. Instead, an impromptu delivery of Geralt’s swords shifted the dynamic of the situation, and Brehen’s confidence seemingly vanished along with his advantage. Not wanting to risk facing the Wolf’s fury on equal footing, the Cat conceded and vanished into the night, never to meet Geralt - nor any other witcher - ever again.
reward_tree_cat_2_title;Brehen
reward_tree_cat_avatar_chest_1;How was it that the fates of Geralt and Ciri – a witcher and a princess of Cintra – became forever intertwined? The Law of Surprise. After the witcher had lifted the curse afflicting Duny, the Urcheon of Erlenwald, he was asked what he desired as reward. Geralt replied, "That which you find at home, yet did not expect." Shortly thereafter, Duny would learn that his wife Pavetta was with child - Ciri. Though Geralt had no intention of encforcing the Law, it had simply become a matter of destiny...
reward_tree_cat_avatar_chest_2;A dark period of Ciri's life came when she joined a bandit gang known as the "Rats." Constantly on the run, exhausted, Ciri had found a semblance of refuge among the young, cutthroat outlaws. At first, she refused to kill as they did, though her reluctance wouldn't last long. To her own horror, she enjoyed killing - and she was good at it. Eventually, however, her comrades were slaughtered to the last. Ciri barely survived and was nursed back from the brink of death under the care of a hermit, Vysogota of Corvo. Had events turned out differently, who knows... Perhaps Ciri would be known today not as a heroine, but as a villain.
reward_tree_cat_avatar_chest_3;Before Cintra fell to ruin, as a young princess, Ciri would spend her holidays on the Skellige Isles at the family estate of Clan an Craite. It was there with the jarl's children that she learned to ice-skate. As fate would have it, this skill would later save her life when confronted by Nilfgaardian assassins on the frozen waters of Tarn Mira. In a dense, milky fog, the assailants could only hear the eerie scrape of her skates, coming from all directions... Followed swiftly by blood-chilling screams of surprise and pain as they fell one by one to her blade.
reward_tree_cat_avatar_story_pt1;Cirilla Fiona Elen Riannon. The Lion Cub of Cintra, Swallow, Zirael, Falka, Child of the Elder Blood, the Lady of Time and Space. An impressive collection of monikers for an impressive woman.
reward_tree_cat_avatar_story_pt2;Daughter to Pavetta and Duny, the young princess enjoyed an early childhood of royal splendor. But then everything changed... Cintra was engulfed in flames and violence, Ciri forced to flee from family and home...
reward_tree_cat_avatar_story_pt3;Eventually, she found a new home in Kaer Morhen, a witchers' fortress and seat of the School of the Wolf. There, under the watchful eye of Geralt of Rivia, she began a grueling training regimen. And it's good that she did, because this peace of her stay there would not last forever... And it couldn't, for after all, the Elder Blood flowed through her veins.
reward_tree_cat_avatar_story_pt4;Due to her lineage, Ciri was endowed with extraordinary gift - the ability to traverse time and space. However, she quickly began to see her ability not as a blessing, but as a curse. For many obsessively coveted her power and sought to exploit it at any cost...
reward_tree_cat_avatar_title;Ciri
reward_tree_cat_border_chest_1;Members of the School of the Cat are ill-famed due to their penchant for frenzy and bloodlust in the heat of battle. Even when their enemies capitulate, beg for mercy... They never stop killing. The inhabitants of Honorton learned this truth in the most brutal fashion. Instead of rewarding a Feline witcher for a contract fulfilled, they withheld their coin and skewered him with pitchfork instead. Gaetan – so was the monster slayer's name – survived the treacherous blow, yet the bloodshed did not stop there... The witcher slaughtered the entire village – men, women, children, the sick and feeble... It mattered not who had a hand in his betrayal. Only one survived the massacre, a young lass named Millie...
reward_tree_cat_border_chest_2;What makes witchers from Cat school so cruel and impetuous? It is widely believed to be a side effect of their mutations. While emotions are suppressed in other witchers, the alchemical cocktail used in the School of the Cat had apparently intensified them. Before the error that tainted the formula could be corrected, it was already too late – a new generation of Feline witchers was born. A generation who would seize control of the School... And had no intention of changing the formula.
reward_tree_cat_border_chest_3;Although Ciri trained at the School of the Wolf, she wore a Feline witcher's medallion. She had claimed it from the lifeless body of infamous bounty hunter Leo Bonhart. Bonhart had boasted that he was one of few to ever best a witcher in combat – and several at that – as evidenced by the three silver medallions fastened to his belt. The swordmaster never claimed a fourth, however, as Ciri spilled his blood over the cold cobblestones of Stygga Castle.
reward_tree_cat_border_story_pt1;Each witcher school holds a unique reputation. Bears - sulkers and firebrands. Wolves - traditionalists. And Cats? Prone to use steel swords more often than silver.
reward_tree_cat_border_story_pt2;Unlike other witchers, those from the School of the Cat were not committed to a position of neutrality. As a result, they were often hired as spies and assassins. And it's no wonder – assassinating a nobleman usually paid better than slaying a drowner.
reward_tree_cat_border_story_pt3;The ill repute of Feline witchers became increasingly notorious in royal circles. After a time, kings and queens began to fear in earnest for their lives. For the witchers, however, this came not as a point of pride, but one of concern, for rulers do not like to feel threatened...
reward_tree_cat_border_story_pt4;One day, an army marched onto the grounds of the School of the Cat. For three days the blood-soaked slaughter persisted, but eventually every last defending witcher perished. As for those who were not present during the attack? They continue to roam the world's roads - embittered, hungry for vengeance, with nothing left to lose...
reward_tree_cat_border_title;Season of the Cat
reward_tree_cc_chest_1;Eltibald derived his prophecies not only from his observations of celestial bodies, but also from inscriptions found on sepulchers and menhirs of the Wozgor and Dauk peoples – human cultures considered among the Continent's most ancient and mysterious. Ultimately, he came to discover the Crimson Curse after examining sacrificial stone slabs of the Svalblod cult in Skellige. According to the isles' inhabitants, the cruel, deity-like being had already been vanquished once and for all. Alas, they could not have been further from the truth...
reward_tree_cc_chest_2;Of course, intelligent monsters had known of the Crimson Curse far earlier than humans. Higher vampires, knockers, sylvans... All sensed the red moon's approach—and all awaited it with eager anticipation. For they knew such an opportunity to settle their grudges against humankind may never again present itself.
reward_tree_cc_chest_3;Historians have long been fascinated by a particular conundrum: how is it that humans rule over the Continent, from the Dragon Mountains to the Great Sea, while monsters – whether werebbubb or godling, fiend or leshen – possess the greater strength? That humans to this day force these powerful beasts deeper into dense woodlands and mountain caves? Some scholars argue that the success of mankind lies in its capacity to build complex social structures, whereas monsters are blindly driven by their appetite for blood. Ever with the sharp intellect and loose tongue, Regis once mused over the question with his close friend, Dettlaff van der Eretein. Regis could not have known, however, how his words that fateful day would forever shift the course of history...
reward_tree_cc_story_pt1;Since the dawn of time, people have peered with curious eyes into the night sky. Among the stars, they've sought signs from the gods, even prophecies of the future. For some, it has worked—though often at the price of losing their minds.
reward_tree_cc_story_pt2;One such clairvoyant was a mage by the name of Eltibald, who foretold the impending arrival of the Black Sun. His next work was meant to herald an even graver misfortune... Alas, he passed away before the manuscript could be completed.
reward_tree_cc_story_pt3;Eltibald's unfinished manuscript bore the title "The Crimson Curse; or, Evil's Awakening." In this tome, he prophesied that once the moon turns a crimson hue, monsters – those previously hidden to humankind – would emerge to feast on flesh and blood.
reward_tree_cc_story_pt4;Eltibald's apprentices considered his latest treatise to be the ravings of a madman, and thus, in the interest of preserving the renowned mage's legacy, kept them hidden from public view. Only years later, as the Continent drowned in blood, did they understand the gravity of their mistake...
reward_tree_cc_title;Crimson Curse
reward_tree_cd1_leadership_story_chest_1;Whether beloved, admired, respected, or feared, leadership takes on many facets, from the staunch determination of visionary monarchs to the reigning terror favored by gang leaders. While some have power thrust upon them⁠—bound by duty and obligation⁠—others harbor the deep-seated drive to claim greatness and rise above the rest. Yet most would-be leaders, void of favorable heritage, must acquire such positions via brute force and bloodshed. After all, it's impossible to keep one's hands clean while leading a Scoia'tael commando or overseeing the unruly and violent "organizations" of Novigrad. And woe to those who try to control monsters without inexorable displays of dominance. When any hint of benevolence is viewed as weakness, a leader must ensure they strike constant fear into the hearts of all, friend and foe alike.
reward_tree_cd1_leadership_story_chest_2;Terror-infused carnage indeed makes for a rousing legacy, and bloodlust and aggression⁠—as the natives of Skellige have demonstrated time and again⁠—can undoubtedly prove useful. In the short term, at least. However, real longevity of power blossoms from a more calm and calculated approach to leadership: Why fling oneself into the fray like a frenzied hound when one can simply take a moment to stand back, analyze the situation, and act accordingly. For intelligence and patience have won far more battles than hot-headed fury, with far fewer casualties. It takes but a glimpse at the Nilfgaardian expanse to see just how efficient shrewd diplomacy can be⁠—albeit with an ample supply of treachery thrown in for good measure.
reward_tree_cd1_leadership_story_chest_3;When it comes to the loyalty of one's subjects, there's no denying that fear makes for an excellent motivator. Yet, support found in such a way tends to be fleeting and often dissipates at the first sign of vulnerability. An uprising here, a coup there⁠—brutality breeds brutality, it has long been known. In fact, many would argue respect and admiration build sturdier foundations and command far stronger patronage; a notion embraced by many of the Northern Realms' rulers for centuries; for they've long affirmed that fearmongering and coercion pale in comparison to the steadfast devotion of truly faithful vassals.
reward_tree_cd1_leadership_title;Stalwart Leadership
reward_tree_cleaver_chest_1;The non-humans of Novigrad knew all too well the city guard has no intention of improving their lot in life. In fact, they often do the exact opposite. For this reason, in non-human quarters of Novigrad, Carlo "Cleaver" Varese maintains order. Those who cooperate with Cleaver praise the protection he offers. But be warned, for those who refuse it are often never heard from again.
reward_tree_cleaver_chest_2;Cleaver prefers to conduct business in the city baths because it is difficult to smuggle in a blade under one's towel and, should negotiations call for a stronger hand, a bare-knuckle resolution works to Cleaver's advantage. With fists the size of rye loaves, the brawl and subesequent business arrangement often conclude in his favor.
reward_tree_cleaver_chest_3;Most dwarves who have decided to live amongst humans do their best to not stand out. They walk with their gaze cast down, their caps pulled over their eyes. But not Cleaver. With chest bared, tattoos and jewelry in full view, and his greased mohawk glistening in the sun, he's rather difficult to miss.
reward_tree_cleaver_story_pt1;Cleaver is actually a rather kind fellow. Truly. That is, of course, until you've said the wrong thing. Then he makes it quite clear just how he earned his moniker.
reward_tree_cleaver_story_pt2;Carlo Varese worked in a slaughterhouse as a young dwarf, becoming adept at butchering hogs. In time, a new truth dawned on him – slaughtering a pig isn't all that different than slaughtering a man.
reward_tree_cleaver_story_pt3;Those who stand in Cleaver's way, intentionally or otherwise, can expect to find themselves later at the bottom of the Pontar in pieces tiny enough to be swallowed up by river fish.
reward_tree_cleaver_story_pt4;But as long as you play by his rules and do as he commands, the leader of the Crownsplitters will treat you like family. And you'd best never betray your family...
reward_tree_cleaver_title;Cleaver
reward_tree_crach_chest_1;Due to the havoc wrought by his fleets in the Empire's coastal territories, Crach earned the moniker "Tirth ys Muire" – the Wild Boar of the Sea. Pleased with the new epithet, Crach decided to sculpt the bow of his drakkar into the likeness of raging boar's head. According to legend, they harvested the wood from Gedyneith, the sacred oak of Ard Skellig. The drakkar instilled fear into the hearts of enemies, for whenever they rammed into an enemy vessel, the wild boar's eyes would glow blood red...
reward_tree_crach_chest_2;Crach an Craite fathered two children – his son, Hjalmar, and his daughter, Cerys. When asked whom he would wish to see as heir and successor, he could only sigh, conflicted by his thoughts. Hjalmar reminded Crach of his younger self – ambitious, valiant, hungry for glory. An impressive warrior, yes... But a jarl? Cerys, on the other hand, possessed all the qualities required of a capable leader. But were the islanders prepared to follow the word of a woman? Only time would tell...
reward_tree_crach_chest_3;As a young man – his beard a rich auburn, his smile broad, the famed vanquisher of the Nilfgaardian armada – Crach stole the gaze of many women. Why, even the famous Yennefer of Vengerberg was enticed by Crach's charm. According to rumor, he asked for the sorceress' hand in marriage. In response, Yennefer smiled, kissed him on his brow... then opened a portal and disappeared from the Skellige Isles for nearly three decades.
reward_tree_crach_story_pt1;At a young age, Crach was foretold that he would one day clash with a foreign ruler, an enemy to Skellige, on the Isles' stormy, coastal seas. For his entire life, the head of Clan an Craite waited for that fateful day...
reward_tree_crach_story_pt2;Convinced the prophecy referred to the  Emperor of Nilfgaard, Crach constantly urged his fleet to remain watchful for black sails bearing the Golden Sun. He eagerly awaited the emperor's arrival, to look him in the eye before wresting the crown from his head.
reward_tree_crach_story_pt3;Years passed, then decades... Crach sank dozens of Nilfgaardian galleys, yet the emperor's feet remained on dry land. Apparently, he was troubled by matters more important than the taming the rocky isles.
reward_tree_crach_story_pt4;Crach became convinced the prophecy must have been misinterpreted. Resigned, he ceased his search for the great sea battle that was written for him in the stars. That is, until on Skellige's shores appeared the Naglfar – the ghostly drakkar commanded by the King of the Wild Hunt himself.
reward_tree_crach_title;Crach an Craite
reward_tree_dana_chest_1;Until recent history, few mortals had ever laid eyes upon Dana Méadbh. It is said she once appeared only in spring or summer, and even then with no guarantee. Some claim she was most likely to be witnessed during the Feast of the Scythe, or Lammas, as the elves call it. She would join in to the harvest dance, even weave marigolds into maidens' braids. Though when the world is bound in ice, as well as in recent memory, Dana Méadbh has begun to appear more frequently... Alas, this is no reason to rejoice, for the Queen of the Fields is angry. Rather than show gratitude for nature's plentiful bounty, the world's inhabitants instead continue to tear and plunder away ever more. The time has come they were taught a lesson – one that shall be remembered for a long, long while.
reward_tree_dana_chest_2;Drawn more to dead rock than living plants and beasts, dwarves possess the weakest connection with nature. Despite this apparent lack of affinity, they too worship Dana Méadbh, yet call her by another name: Bloëmenmagde. They demonstrate their honor by laying wreaths of hops and jars of pickled fungi at a crossroads. None know whether Lyfia, as she is sometimes known, truly enjoys such offerings... But the knockers of the surrounding mountains certainly do.
reward_tree_dana_chest_3;Dana Méadbh sometimes takes the form of a ordinary woman, using her guise to live amongst mortals. She does not speak, as if mute, staying clear of the beaten path, yet observes all with a keen eye. In those villages where the peasantfolk do not weed the poppies and cornflowers from their fields of rye, where they treat their cows to the delight of carrots, Lyfia multiplies their bounty. Yet where peasants treat the land not as mother but slave, so comes the devastation of frost and hail...
reward_tree_dana_story_pt1;Sometimes, on a hot summer's day, you might spot the silhouette of a young woman in the heart of a birch grove, surrounded by dancing butterflies with a crown of flowers atop her head. The elves call her Dana Méadbh. To humans, she is Lyfia, or the Queen of the Fields.
reward_tree_dana_story_pt2;Not even the greatest of the elven sages know who – or what – she truly is. Some consider her a goddess, others – the forces of nature embodied. Though one thing is for certain: without her presence, the Continent would sit as a lifeless rock in the sea.
reward_tree_dana_story_pt3;It is Dana Méadbh who awakens plants and beasts at the advent of spring, who nurtures the buds of delicate flowers. Wherever she steps, the land bestows its bounty. Where she treads not, stalks snap, flowers wilt, and harvests wane.
reward_tree_dana_story_pt4;For a long time, Dana Méadbh refused to meddle in the affairs of mortals. She held love for all races. Yet the balance of the world was disturbed and Lyfia sought to restore it. By force, if necessary.
reward_tree_dana_title;Dana Méadbh
reward_tree_demavend_chest_1;Although all now are too young to recall, Demavend was once a strapping young man. Foltest himself would have envied the man's eagle-like profile. Maidens swooned when caught under the gaze of his piercing emerald eyes. But years of plenty have taken their toll. A plump belly and rosy cheeks show clearly that the king was never want for sumptuous food and drink. His saggy neck and hunched shoulders proved further that he preferred to command his armies from a silk-lined throne in place of a saddle...
reward_tree_demavend_chest_2;Demavend's hatred for elves was legendary. While Vizimir and Foltest fought the Squirrels out of necessity, the King of Aedirn hunted the rebels down with astonishing enthusiasm. Despite the fact that the war with Nilfgaard had nearly drained Aedirn's royal treasury, Demavend offered 50 ducats for every Scoia'tael head. Taking advantage of the lucrative bounty, Aedirnians often falsely accused and captured innocent elves and dwarves. Demavend was perfectly aware his subjects were exploiting the offer. And yet, he didn't seem bothered in the least...
reward_tree_demavend_chest_3;Under his crown, Demavend always wore a white cap embroidered with gold thread – undeterred even by the sweltering summer months. Why? It seems the vain king was ashamed of his retreating hairline. Many alchemists and barbers passed through his court, offering promises to restore the Aedirnian ruler's lustrous mane. Each of them, to the last, spent their remaining days in the Aldersberg dungeons for their failure – deprived of freedom... and their own scalps.
reward_tree_demavend_story_pt1;Demavend possessed many traits that predisposed the king for greatness. Well-educated, shrewd, cunning, a master of political intrigue. Unfortunately, he was also very, very impatient.
reward_tree_demavend_story_pt2;King Demavend was never satisfied with the present. He always looked to tomorrow, to the great feats of his future, shrugging off the mundane tasks of the court. Whilst his advisers bored him with the nuances of prudent fiscal policy, he quietly planned his next conquest...
reward_tree_demavend_story_pt3;Aedirn's neighbors learned quickly that Demavend could never be appeased with compromise. His kingdom expanded like dough baked in too small a bread pan, pushing and stretching in all directions. Not unlike the Nilfgaardian Empire...
reward_tree_demavend_story_pt4;When Nilfgaardian forces eventually crossed the Yaruga, a panicked fear struck deeply in all the rulers of the North. All except for King Demavend, that is. He rejoiced, for at last he would face an enemy worthy of Aedirn's might! Of course... His jubilation would not last long.
reward_tree_demavend_title;King Demavend III
reward_tree_dettlaff_chest_1;Witchers used to classify higher vampires as a distinct species. However, their logic was not fully sound, for each possesses its own unique character and abilities. Regis, for example, was a loner endowed with extraordinary intellect. Dettlaff, by contrast, seemed destined to lead a flock. Lower forms of vampires such as katakans, ekimmaras, and bruxae answered his every call without delay. The inhabitants of Beauclair would quickly learn the disastrous consequences of such overwhelming control...
reward_tree_dettlaff_chest_2;Perhaps the most distinctive piece of Dettlaff's attire is a jewel-encrusted brooch crafted in the shape of a moth – a gift bestowed to him by Regis. Dettlaff viewed the token as a symbol of his connection with the night. Regis, however, held a different association in mind. He knew his friend, driven primal urges, would – like a moth – always be drawn back to the light. Even if that meant he would one day be consumed by the flames.
reward_tree_dettlaff_chest_3;After Dettlaff slayed four knights of Toussaint guilty of despicable acts, he became known to Toussaintois as the Beast of Beauclair. Sentenced to death for the killings, the Toussaint court summoned a witcher to track and kill the unknown monster. Dettlaff could but watch on in utter disbelief, for the widely adored Duchess Anna Henrietta has condemned dozens to the scaffold for much, much less! Even the monster slayer called to Toussaint had more innocent lives on his conscience than the alleged beast he was commissioned to kill! This was the tipping point. Dettlaff decided to no longer adhere to the laws of men. He would instead impose upon them the vampiric code of honor – a system founded on the harshest punishments...
reward_tree_dettlaff_story_pt1;Dettlaff once tried to live among people in peace. He muzzled his bloodlust, mastered the Common Speech, and perfected the basics of courtly etiquette. Over time, he began to make friends of humans... And in one in particular, he found a lover.
reward_tree_dettlaff_story_pt2;His beloved's name was Syanna. Dettlaff's love for her was absolute. He was prepared to do any and all for her. In fact, Syanna made ample use of his love-driven dedication... That is, until the day she vanished without a trace or a word.
reward_tree_dettlaff_story_pt3;Syanna likely assumed that Dettlaff would swallow the bitter pill of rejection like all her lovers before him. Alas, the reasoning of vampires works differently than in men. And so, too, did Dettlaff's fury burn more fiercely.
reward_tree_dettlaff_story_pt4;Dettlaff felt scorned not only by Syanna, but by the entire human race. He took them all for traitors, hypocrites, and deceivers. Unfortunately, even but a brief look back on the Continent's history shows us he is not altogether wrong...
reward_tree_dettlaff_title;Dettlaff van der Eretein
reward_tree_dire_rat_chest;Some say that the Wererat is just an urban legend. Others swear that they have seen him in the sewers – just not in one particular city. So one could get the impression that the humanoid rat liked to live in the sewers of every large human community on the Continent. Or that there were simply more of them. Wererats, that is. There was even a rumor, that the people who lived through the epidemic are not humans anymore.\nAt least not everyday.
reward_tree_dire_rat_story_pt1;Rats can be found everywhere. At least everywhere, where people live.
reward_tree_dire_rat_story_pt2;For example the itinerant rat (rattus nordlicus, according to the Oxenfurt classification) along with humans, has colonized the entire Continent, and most likely, also the lands beyond the sea. One could think that rats, and not the dogs, are human's best friend.\nNothing could be more wrong.
reward_tree_dire_rat_story_pt3;Rats are the harbingers of human misfortune. They destroy property, eat the supplies and carry diseases. Their tiny claws and teeth can prove deadlier than the largest war machines. While they will not level an entire city, they can easily kill all its inhabitants… All it takes is one infected animal. One tiny cut that brings the worst for humans.\nThe plague.
reward_tree_dire_rat_story_pt4;No one can foresee the town and time that the Plague Maiden will send her rats to. Similarly, no one can tell which disease they will spread. What will the symptoms be? When you hear the stories about the dreadful mutations among the infected, who nevertheless still lived…\nDeath seems to be the merciful option.
reward_tree_draconic_avatar_chest_1;The identity of Saskia's mother remains a mystery, though evidence suggests she was Myrgtabrakke – a dragon once the target of a hunting expedition led by King Niedamir of Caingorn. Who took part in the campaign to slay her? The question, rather, is who did not! The party included Yarpen Zigrin and his dwarves, Eyck of Denesle, Yennefer of Vengerberg, Dorregaray of Vole, the Crinfrid Reavers, and even the legendary Geralt of Rivia himself... And yet, somehow, Myrgtabrakke lived. How, you ask? It's unknown for certain, for none on the expedition ever wished to speak of it...
reward_tree_draconic_avatar_chest_2;It was Saskia's dream to establish a new kingdom in the Pontar Valley, at the junction of Kaedwen and Aedirn. All races – elves, dwarves, humans, halflings, and gnomes – were to live there in peace, free from prejudice and discrimination. A beautiful dream, indeed... Yet extremely difficult to realize.
reward_tree_draconic_avatar_chest_3;After reading Saskia's spirited, impassioned speeches, it's difficult to walk away without an impression that she was unusually... naive. Would an experienced politician believe that a peasant uprising could defeat King Henselt's army? That the Scoia'tael would abandon the forest in order to defend the lives of humans and dwarves? That the Lodge of Sorceresses would provide aid with no ulterior motive? And yet... Such dreamers are needed, for it is only they who can change the world for the better.
reward_tree_draconic_avatar_story_pt1;Saskia held several monikers. Queen of the Pontar Valley, the Virgin of Aedirn, the Dragonslayer. Hmm, well... In retrospect, we know that at least two of these titles were undeserved.
reward_tree_draconic_avatar_story_pt2;For now, let us leave matters of the bedchamber left to unspoken speculation and focus on her title of "Dragonslayer." In fact, she had never slayed a dragon... Nor had she ever an intent to take her own life.
reward_tree_draconic_avatar_story_pt3;Yes, yes, you understood that correctly. Saskia – or rather Saesenthessis, as that was her full name – was none other than a golden dragon, a being able to assume any form...
reward_tree_draconic_avatar_story_pt4;But that begs the question... Why assume human form? Why meddle in human affairs? In all likelihood, she inherited her fondness for people from her father, Villentretenmerth.
reward_tree_draconic_avatar_title;Saskia
reward_tree_draconic_border_chest_1;As surely as the sun rises with each day, people deathly afraid of dragons. That is... With exception of the Zerrikanians. Should you believe the tales of travelers returning from the Continent's far east, the folk of Zerrikania make sacrifices to the reptiles and erect temples in their honor. What's more, they consider dragons the embodiment of virtue and beauty. Any who raises sword or bow against one shall suffer punishment of the greatest severity. What truth can be found in such stories, however, is difficult to discern...
reward_tree_draconic_border_chest_2;Dragons are a rare sight on the Continent, yet accounts of destruction wrought by the beasts still widely circulates. When an expert arrives at the scene of an attack – a witcher, as is often the case – they often conclude it's not the work of a dragon. Far more commonly, a slyzard, forktail, or wyvern is the culprit. Rumor has it, golden dragons find such comparisons highly offensive...
reward_tree_draconic_border_chest_3;The most famous of dragons was likely Villentretenmerth – known in his human form as Borch Three Jackdaws. Unlike others of his species, he had sympathy for humans and enjoyed spending time with them. This was especially true in the comfort of taverns and inns, the tables heavy with hearty fare, in the company of troubadors and the fierce female warriors of Zerrikania...
reward_tree_draconic_border_story_pt1;Green, red, black, white, gold... There are several dragon varieties. They differ in color, of course, but also in size, intelligence, and their abilities. So, in what way are they alike? Simple. They're all deadly.
reward_tree_draconic_border_story_pt2;Perhaps it is because of their deadliness that witchers do not accept contracts on dragons. They point to their mysterious witchers' code as the reason, yet it is rather apparent that even the famed monster slayers fear these particular draconids.
reward_tree_draconic_border_story_pt3;Because witchers refuse to slay dragons, the task falls to other would-be heroes. Sometimes, a knight-errant may vow to duel the winged beast. Other times, local peasants may seek to protect their village the best way they know how... By stuffing a sheep's carcass with poison.
reward_tree_draconic_border_story_pt4;Regardless of the method, however, most attempts at dragonslaying usually end poorly for the would-be slayers. Yet, if that's true, where are all the dragons? Well, according to legend, they have flown across the Great Sea, to lands as yet untainted by humankind.
reward_tree_draconic_border_title;Season of the Draconid
reward_tree_draconid_2_story_chest;After a great and successfully unsuccessful hunt, Myrgtabrakke gave her barely hatched daughter to Villentretenmerth, in return for the rescue and for her own safety⁠—a “Dragon of Surprise”, one could say. Later, Myrg went into hiding far away from human settlements, and away from any other dragon. Away from everything. She had always been a loner, and her clash with the hunting party of King Niedamir⁠—especially with Barefield’s loud rabble⁠—only confirmed that she preferred solitude to the company of others.\nNonetheless, Myrgtabrakke kept a watchful eye on her daughter.\nShe usually did this out of sight, because Saesenthessis, known as Saskia by common folk, for some incomprehensible reason, was interested in both human and non-human matters. Myrgtabrakke, although she was unable to quite understand, never interfered in her daughter’s curious affairs, nor ever tried to stop her.\nBut she watched. Always. Ensuring that Saesenthessis was never, ever truly alone.
reward_tree_draconid_2_story_pt1;Myrgtabrakke belonged to the most common variety of dragons. The green ones. Unfortunately, due to the similar coloration of the scales, they are notoriously mistaken for slyzards. Despite the species’ name, they often appear to be greenish gray, or grayish green, similar to that of the lesser draconids. As a result, these intelligent reptiles are more actively hunted than any other type of dragon.
reward_tree_draconid_2_story_pt2;One of the most famous hunts in the history of the North concerned Myrgtabrakke herself, with the event owing its fame to the legendary hunting party. Led by Niedamir, King of Caingorn, its participants⁠—not counting almost half of Barefield’s residents⁠—comprised Yarpen Zigrin and his company of dwarves, Boholt and his Crinfrid Reavers, Eyck of Denesle, mages Dorregaray of Vole and Yennefer of Vengerberg, witcher Geralt of Rivia with his friend Dandelion, and finally, the knight Borch Three Jackdaws, known also by another name … A dragon's name.
reward_tree_draconid_2_story_pt3;So while most of the party pursued the wounded Myrgtabrakke for various compensations, the witcher and the knight took part in the hunt for quite different reasons. Geralt, unable to escape the bond between him and the sorceress, found himself once again⁠—and not for the last time⁠⁠—following Yennefer. Meanwhile, Villentretenmerth, using the name Borch Three Jackdaws among humans, joined the famous ensemble for one reason, and one reason alone: to save Myrgtabrakke.
reward_tree_draconid_2_story_pt4;When the hunters finally reached the cave where Myrgtabrakke was hiding, it came to light why the dragon didn’t just scurry away, easily escaping her imminent slaughter. She would not abandon her egg and leave the precious life within at the mercy of the self-proclaimed monster slayers⁠—brazen hunters who cared not if the creature was actually intelligent. Fortunately, witchers still had their “code”, and Geralt of Rivia helped Villentretenmerth save the green dragon and her offspring. As for the other party members ... Well, instead of treasure and prestige, they only found their bloodlust repaid in kind.
reward_tree_draconid_2_title;Myrgtabrakke
reward_tree_dryad_2_story_chest;Long ago, Aglaïs promised herself something in secret.\nAs fate would have it, thanks to her notable skills, she was able to keep that promise. From an early age, when she was just a grub crawling among the trees, she showed an innate talent for healing, even among hamadryads. This was why Lady Eithné never compelled her to take up arms; never forced Aglaïs to break her vow of pacifism—not even during times of war. The healer loathed the thought of killing. She accepted death as the natural end of all living things, but rejected the possibility that she could ever inflict it upon others.\nAnd so she never did.
reward_tree_dryad_2_story_pt1;Aglaïs was the chief healer in Col Serrai, the famous hot spring basin, when Geralt of Rivia arrived there—battered and broken. The witcher had been badly wounded during his duel with sorcerer Vilgefortz on Thanedd Island, and was in grave need of help. If it were not for the restorative hand of the hamadryad, he would never have fought again.
reward_tree_dryad_2_story_pt2;The superior healer of Col Serrai was well known for her taciturnity. The reason for this was quite simple: Aglaïs had never seen anybody heal faster due to idle chatter. So she chose her words carefully and talked only when the situation required it. When she didn't have to waste her breath—she didn't.
reward_tree_dryad_2_story_pt3;In addition to the forces of nature, the chief healer used forest water and curative rhizomes—most prominently, the famous combination of conynhael and knitbone. But the key to healing the most grievous of wounds lay with the extraordinary skill of the hamadryad herself.
reward_tree_dryad_2_story_pt4;Amazingly, contrary to popular belief about dryads and their kin, Aglaïs saw no difference between treating humans and non-humans alike. If someone was sick or injured, regardless of who or what they were, she would do whatever she could to make them whole again.
reward_tree_dryad_2_title;Aglaïs
reward_tree_dryad_avatar_chest_1;Triss Merigold is sometimes called the Fourteenth of the Hill. The moniker refers to the Battle of Sodden at which many mages and sorceresses perished while fighting for the North. Struck to the ground with a powerful spell, it seemed Triss had shared the others' fate. Fortunately, it turned out news of her death was somewhat exaggerated...
reward_tree_dryad_avatar_chest_2;When King Radovid V began his hunt for mages, Triss – like many of her colleagues – sought refuge in Novigrad, a neutral city. In place of a haven, however, she and the others found themselves in a trap. Soon the bodies of mages and sorceresses began to pile up, their lives extinguished by the fanatical priests from the Church of the Eternal Fire. Those lucky enough to be spared a gruesome death owe their thanks to Triss... As well as a certain white-haired witcher.
